wave,line
7910.112,2.14E-06
7914.418,1.79E+00
7914.438,1.79E+00
7915.88,1.66E+01
7915.89,1.66E+01
7916.267,0.00E+00
7917.059,0.00E+00
7917.909,0.00E+00
7919.12,0.00E+00
7920.513,5.54E-01
7920.542,5.54E-01
7920.803,8.59E-07
7920.884,8.59E-07
7921.567,1.27E-06
7921.874,1.27E-06
7923.161,8.60E-01
7923.281,6.04E+00
7923.286,8.60E-01
7923.315,6.04E+00
7930.532,2.25E-01
7930.557,2.25E-01
7933.049,1.79E+00
7933.561,1.79E+00
7933.913,2.04E+00
7933.986,2.04E+00
7939.806,4.18E-05
7940.549,4.18E-05
7943.883,6.46E-05
7944.233,8.38E-05
7944.349,8.18E-02
7944.354,8.18E-02
7944.518,8.38E-05
7945.06,6.46E-05
7945.372,5.18E-08
7945.518,5.18E-08
7946.204,7.45E-08
7946.604,7.45E-08
7947.915,6.09E-01
7948.04,6.09E-01
7948.523,3.33E-04
7949.275,3.33E-04
7951.349,3.68E+00
7951.432,3.68E+00
7953.688,1.31E-07
7954.212,1.31E-07
7955.665,1.90E-07
7956.824,1.90E-07
7961.849,2.29E-02
7961.876,2.29E-02
7965.39,1.49E-01
7965.579,1.49E-01
7966.793,1.24E+01
7966.889,1.24E+01
7970.216,3.60E-01
7970.44,3.60E-01
7971.542,0.00E+00
7971.687,7.81E-08
7972.442,0.00E+00
7973.096,7.81E-08
7973.862,2.50E-09
7974.08,2.50E-09
7974.737,3.55E-09
7975.238,3.55E-09
7975.553,1.13E-07
7977.76,1.13E-07
7979.181,6.95E-01
7979.844,6.95E-01
7981.943,4.73E+00
7981.983,4.73E+00
7983.011,6.09E-03
7983.082,6.09E-03
7986.422,3.00E-02
7986.684,3.00E-02
7990.133,1.39E-05
7990.53,1.39E-05
7994.218,4.81E-05
7995.14,4.81E-05
7995.439,1.35E+01
7995.622,1.35E+01
8000.337,3.54E-06
8001.216,3.54E-06
8004.025,5.19E-06
8005.37,5.19E-06
8005.922,1.01E-08
8006.36,9.86E-11
8006.594,1.01E-08
8006.654,9.86E-11
8007.261,1.40E-10
8007.847,1.21E-03
8007.866,1.40E-10
8007.886,1.45E-08
8007.971,1.21E-03
8009.264,1.45E-08
8011.079,5.33E-03
8011.426,5.33E-03
8016.25,3.78E+00
8016.276,3.78E+00
8022.229,1.22E-01
8022.567,1.22E-01
8027.875,9.29E+00
8028.16,9.29E+00
8030.377,2.22E-01
8031.209,2.22E-01
8036.39,1.75E-04
8036.578,1.75E-04
8039.43,7.84E-04
8039.871,7.84E-04
8041.294,1.89E-06
8041.818,1.89E-06
8042.962,3.21E-12
8043.336,3.21E-12
8045.179,6.41E-06
8046.291,6.41E-06
8054.18,2.15E+00
8054.289,2.15E+00
8057.696,5.40E-09
8059.331,5.40E-09
8061.32,7.69E-09
8063.828,7.69E-09
8064.152,6.70E-10
8064.196,4.68E+00
8064.594,4.68E+00
8064.935,2.32E-07
8064.991,6.70E-10
8065.958,2.32E-07
8068.294,3.42E-07
8068.696,2.68E-05
8068.958,2.68E-05
8069.814,3.42E-07
8071.546,8.62E-05
8072.092,8.62E-05
8079.368,3.40E-02
8079.834,3.40E-02
8086.806,5.86E-02
8087.823,5.86E-02
8095.805,9.12E-01
8096.005,9.12E-01
8097.927,2.11E-07
8098.595,2.11E-07
8101.624,7.06E-07
8102.945,7.06E-07
8104.467,1.81E+00
8104.834,2.17E-06
8104.989,1.81E+00
8105.18,2.17E-06
8107.506,8.44E-06
8108.167,8.44E-06
8133.736,1.25E-08
8134.909,1.25E-08
8136.814,1.76E-08
8138.52,1.76E-08
8141.2,2.95E-01
8141.502,2.95E-01
8141.831,7.77E-03
8142.44,7.77E-03
8144.889,2.11E-07
8145.328,2.11E-07
8147.395,6.39E-07
8148.182,6.39E-07
8148.654,1.30E-02
8148.748,5.44E-01
8149.402,5.44E-01
